"current_url","recommended_url","redirect_301_required","canonical","internal_link_updates","reason"
"/product/pickora-1972612611","/product/pickora-1972612611","No slug change recommended","https://mixenza.com/product/pickora-1972612611","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/pickora-1963263814","/product/pickora-1963263814","No slug change recommended","https://mixenza.com/product/pickora-1963263814","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/pickora-1965017109","/product/pickora-1965017109","No slug change recommended","https://mixenza.com/product/pickora-1965017109","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/pickora-1966895078","/product/pickora-1966895078","No slug change recommended","https://mixenza.com/product/pickora-1966895078","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/pickora-1973702573","/product/pickora-1973702573","No slug change recommended","https://mixenza.com/product/pickora-1973702573","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/pickora-1971400774","/product/pickora-1971400774","No slug change recommended","https://mixenza.com/product/pickora-1971400774","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/tos-8381141581985-digital-kitchen-weight-scale-machine","/product/tos-8381141581985-digital-kitchen-weight-scale-machine","No slug change recommended","https://mixenza.com/product/tos-8381141581985-digital-kitchen-weight-scale-machine","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/tos-8381139779745-mini-food-chopper","/product/tos-8381139779745-mini-food-chopper","No slug change recommended","https://mixenza.com/product/tos-8381139779745-mini-food-chopper","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/tos-8317065298081-water-spray-mop","/product/tos-8317065298081-water-spray-mop","No slug change recommended","https://mixenza.com/product/tos-8317065298081-water-spray-mop","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/tos-8349003153569-silver-crest-4-in-1-hand-blender-set","/product/tos-8349003153569-silver-crest-4-in-1-hand-blender-set","No slug change recommended","https://mixenza.com/product/tos-8349003153569-silver-crest-4-in-1-hand-blender-set","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/pickora-1970697444","/product/pickora-1970697444","No slug change recommended","https://mixenza.com/product/pickora-1970697444","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/pickora-1971845697","/product/pickora-1971845697","No slug change recommended","https://mixenza.com/product/pickora-1971845697","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
