"url","status","redirect_chain","title","description","canonical","robots","jsonld_blocks","html_bytes","header_ms","h1","error"
"https://mixenza.com/sitemap.xml","404","404 https://mixenza.com/sitemap.xml","404: This page could not be found.","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","52437","303","404",""
"https://mixenza.com/","200","200 https://mixenza.com/","Mixenza — Your everyday marketplace","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","106698","321","Sip in style, all day long.",""
"https://mixenza.com/robots.txt","404","404 https://mixenza.com/robots.txt","404: This page could not be found.","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","52437","841","404",""
"http://mixenza.com/","200","308 http://mixenza.com/ -> https://mixenza.com/ | 200 https://mixenza.com/","Mixenza — Your everyday marketplace","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","106698","91","Sip in style, all day long.",""
"https://www.mixenza.com/","200","307 https://www.mixenza.com/ -> https://mixenza.com/ | 200 https://mixenza.com/","Mixenza — Your everyday marketplace","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","106698","92","Sip in style, all day long.",""
"https://mixenza.com/shop?category=Kitchenware","200","200 https://mixenza.com/shop?category=Kitchenware","Shop | Mixenza | Mixenza","Browse Mixenza products, categories and PKR prices.","","","0","552713","2585","Kitchenware",""
"https://mixenza.com/shop/","200","308 https://mixenza.com/shop/ -> /shop | 200 https://mixenza.com/shop","Shop | Mixenza | Mixenza","Browse Mixenza products, categories and PKR prices.","","","0","562252","2993","Shop",""
"https://mixenza.com/shop/shop","200","200 https://mixenza.com/shop/shop","Shop | Mixenza | Mixenza","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","564624","1545","Shop",""
"https://mixenza.com/shop/general","200","200 https://mixenza.com/shop/general","General | Mixenza | Mixenza","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","556707","2655","General",""
"https://mixenza.com/blog","200","200 https://mixenza.com/blog","News | Mixenza | Mixenza","Today worldwide stories for Mixenza shoppers — gold, shipping, mobile prices and more.","","","0","100140","112","Today worldwide stories",""
"https://mixenza.com/pages/about","200","200 https://mixenza.com/pages/about","Mixenza — Your everyday marketplace","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","165981","92","",""
"https://mixenza.com/pages/faqs","200","200 https://mixenza.com/pages/faqs","Mixenza — Your everyday marketplace","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","189448","91","",""
"https://mixenza.com/pages/contact","200","200 https://mixenza.com/pages/contact","Mixenza — Your everyday marketplace","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","158744","88","How can we help?",""
"https://mixenza.com/shop","200","200 https://mixenza.com/shop","Shop | Mixenza | Mixenza","Browse Mixenza products, categories and PKR prices.","","","0","562252","3203","Shop",""
"https://mixenza.com/pages/customer-feedbacks","200","200 https://mixenza.com/pages/customer-feedbacks","Mixenza — Your everyday marketplace","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","181397","99","",""
"https://mixenza.com/homepages/fashion11","200","200 https://mixenza.com/homepages/fashion11","Mixenza — Your everyday marketplace","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","16126","89","",""
"https://mixenza.com/blog/default","200","200 https://mixenza.com/blog/default","Mixenza — Your everyday marketplace","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","","0","16097","94","",""
"https://mixenza.com/product/out-of-stock","200","200 https://mixenza.com/product/out-of-stock","Mixenza — Your everyday marketplace","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","noindex","0","17349","105","",""
"https://mixenza.com/checkout","200","200 https://mixenza.com/checkout","Mixenza — Your everyday marketplace","Mixenza — shop thousands of products from trusted sellers, all in one marketplace.","","noindex","0","15697","110","",""
